base,params,exp,teacher,n_examples,repeat,max_tokens,step,benchmark,mean,std,n_seeds,wandb_run,created,state
marin-32b-base,32000000000.0,exp3956nopack,qwen3-30b-a3b-thinking,10000,1,32768,394,AIME25,0.1667,0.0222,10,0ddhfike,2026-04-30,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-30b-a3b-thinking,10000,1,32768,394,AMC23,0.5875,0.046,10,mt937dyb,2026-04-30,crashed
marin-32b-base,32000000000.0,exp3956nopack,qwen3-30b-a3b-thinking,10000,1,32768,394,HMMT,0.11,0.0316,10,1olslbfd,2026-04-30,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-30b-a3b-thinking,10000,1,32768,394,MATH500,0.77,0.0069,3,8omq08c3,2026-04-30,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-30b-a3b-thinking,10000,2,32768,394,AIME24,0.21,0.063,10,e82d58xf,2026-05-02,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-30b-a3b-thinking,10000,2,32768,394,AIME25,0.2033,0.0429,10,96kf0g9f,2026-05-02,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-30b-a3b-thinking,10000,2,32768,394,AMC23,0.61,0.0474,10,k5giuqtx,2026-05-02,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-30b-a3b-thinking,10000,2,32768,394,HMMT,0.1,0.0222,10,8ldyz7wb,2026-05-02,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-30b-a3b-thinking,10000,2,32768,394,MATH500,0.778,0.0131,3,03hircu2,2026-05-02,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-30b-a3b-thinking,10000,3,32768,394,AIME24,0.2133,0.0502,10,o2wqenuo,2026-05-03,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-30b-a3b-thinking,10000,3,32768,394,AIME25,0.18,0.0422,10,oshkwitx,2026-05-03,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-30b-a3b-thinking,10000,3,32768,394,AMC23,0.6425,0.0472,10,dja54lbn,2026-05-03,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-30b-a3b-thinking,10000,3,32768,394,HMMT,0.0967,0.0331,10,9volj9sd,2026-05-03,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-30b-a3b-thinking,10000,3,32768,394,MATH500,0.7693,0.0167,3,yxrpthvh,2026-05-03,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-30b-a3b-thinking,50000,1,32768,391,AIME24,0.21,0.0316,10,gr5dcnek,2026-05-05,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-30b-a3b-thinking,50000,1,32768,391,AIME25,0.18,0.0391,10,lk8s0joe,2026-05-05,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-30b-a3b-thinking,50000,1,32768,391,AMC23,0.6025,0.0583,10,7i010tte,2026-05-05,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-30b-a3b-thinking,50000,1,32768,391,HMMT,0.1067,0.0378,10,d8d0hjoz,2026-05-05,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-30b-a3b-thinking,50000,1,32768,391,MATH500,0.7813,0.0061,3,2a0iclt9,2026-05-05,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-30b-a3b-thinking,50000,1,32768,782,AIME24,0.3633,0.0637,10,878fyg4s,2026-05-05,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-30b-a3b-thinking,50000,1,32768,782,AIME25,0.31,0.0446,10,trn5edj4,2026-05-05,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-30b-a3b-thinking,50000,1,32768,782,AMC23,0.7925,0.0409,10,lkltikj7,2026-05-05,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-30b-a3b-thinking,50000,1,32768,782,HMMT,0.2233,0.0473,10,4b1l78vc,2026-05-05,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-30b-a3b-thinking,50000,1,32768,782,MATH500,0.8433,0.0153,3,3pjw0hxs,2026-05-05,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-30b-a3b-thinking,50000,1,32768,1173,AIME24,0.42,0.0502,10,7k9ajoce,2026-05-05,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-30b-a3b-thinking,50000,1,32768,1173,AIME25,0.3367,0.0457,10,yifdmfm3,2026-05-05,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-30b-a3b-thinking,50000,1,32768,1173,AMC23,0.765,0.0738,10,sucvj97b,2026-05-05,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-30b-a3b-thinking,50000,1,32768,1173,HMMT,0.19,0.0353,10,qdq0nqsd,2026-05-05,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-30b-a3b-thinking,50000,1,32768,1173,MATH500,0.8353,0.0081,3,zsbfc18n,2026-05-05,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-30b-a3b-thinking,50000,1,32768,1564,AIME24,0.4867,0.0689,10,3jlch8n7,2026-05-09,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-30b-a3b-thinking,50000,1,32768,1564,AIME25,0.42,0.0632,10,068zlmxq,2026-05-09,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-30b-a3b-thinking,50000,1,32768,1564,AMC23,0.8225,0.052,10,7ir2hl42,2026-05-09,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-30b-a3b-thinking,50000,1,32768,1564,HMMT,0.2267,0.0492,10,ueurguwc,2026-05-09,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-30b-a3b-thinking,50000,1,32768,1564,MATH500,0.852,0.0035,3,nmd9ec9b,2026-05-08,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-30b-a3b-thinking,50000,1,32768,1954,AIME24,0.4733,0.0516,10,8hll3mwg,2026-05-09,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-30b-a3b-thinking,50000,1,32768,1954,AIME25,0.3833,0.036,10,yssej5np,2026-05-09,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-30b-a3b-thinking,50000,1,32768,1954,AMC23,0.81,0.0242,10,ojwgv0ok,2026-05-09,finished
marin-32b-base,32000000000.0,exp3956nopack,qwen3-30b-a3b-thinking,50000,1,32768,1954,HMMT,0.2567,0.0545,10,dyd2vsl0,2026-05-09,finished
