_step,train/loss,eval/paloma/c4_en-llama3/loss,eval_dropless/paloma/c4_en-llama3/loss,eval/macro_loss,eval_dropless/macro_loss,_segment
0,,11.781057357788086,11.781115531921387,11.786336898803711,11.786397933959961,hero-12d8b6f0-dee637
60,11.386762619018555,,,,,hero-12d8b6f0-dee637
62,11.361893653869629,,,,,hero-12d8b6f0-dee637
73,11.213017463684082,,,,,hero-12d8b6f0-dee637
181,9.491684913635254,,,,,hero-12d8b6f0-dee637
184,9.448095321655273,,,,,hero-12d8b6f0-dee637
188,9.395821571350098,,,,,hero-12d8b6f0-dee637
199,9.245194435119629,,,,,hero-12d8b6f0-dee637
227,8.909324645996094,,,,,hero-12d8b6f0-dee637
269,8.490076065063477,,,,,hero-12d8b6f0-dee637
283,8.329967498779297,,,,,hero-12d8b6f0-dee637
290,8.274094581604004,,,,,hero-12d8b6f0-dee637
313,8.080077171325684,,,,,hero-12d8b6f0-dee637
321,7.988956451416016,,,,,hero-12d8b6f0-dee637
343,7.822170734405518,,,,,hero-12d8b6f0-dee637
360,7.62931489944458,,,,,hero-12d8b6f0-dee637
377,7.4890217781066895,,,,,hero-12d8b6f0-dee637
518,6.326875686645508,,,,,hero-12d8b6f0-dee637
570,5.907623291015625,,,,,hero-12d8b6f0-dee637
649,5.321665287017822,,,,,hero-12d8b6f0-dee637
680,5.0998148918151855,,,,,hero-12d8b6f0-dee637
707,4.918656826019287,,,,,hero-12d8b6f0-dee637
733,4.7438483238220215,,,,,hero-12d8b6f0-dee637
838,4.070394039154053,,,,,hero-12d8b6f0-dee637
867,3.85766863822937,,,,,hero-12d8b6f0-dee637
883,3.7574799060821533,,,,,hero-12d8b6f0-dee637
904,3.635474920272827,,,,,hero-12d8b6f0-dee637
927,3.49497127532959,,,,,hero-12d8b6f0-dee637
1055,2.9660282135009766,,,,,hero-12d8b6f0-dee637
1067,2.9249818325042725,,,,,hero-12d8b6f0-dee637
1083,2.856952667236328,,,,,hero-12d8b6f0-dee637
1133,2.749892473220825,,,,,hero-12d8b6f0-dee637
1150,2.6867611408233643,,,,,hero-12d8b6f0-dee637
1152,2.685392141342163,,,,,hero-12d8b6f0-dee637
1164,2.682464361190796,,,,,hero-12d8b6f0-dee637
1212,2.5822670459747314,,,,,hero-12d8b6f0-dee637
1263,2.49226450920105,,,,,hero-12d8b6f0-dee637
1412,2.2970662117004395,,,,,hero-12d8b6f0-dee637
1453,2.253077507019043,,,,,hero-12d8b6f0-dee637
1504,2.2116847038269043,,,,,hero-12d8b6f0-dee637
1623,2.096039056777954,,,,,hero-12d8b6f0-dee637
1652,2.084003210067749,,,,,hero-12d8b6f0-dee637
1668,2.072375774383545,,,,,hero-12d8b6f0-dee637
1684,2.062622308731079,,,,,hero-12d8b6f0-dee637
1693,2.0387237071990967,,,,,hero-12d8b6f0-dee637
1701,2.045168161392212,,,,,hero-12d8b6f0-dee637
1769,2.014667510986328,,,,,hero-12d8b6f0-dee637
1843,1.9616355895996094,,,,,hero-12d8b6f0-dee637
1857,1.9610592126846313,,,,,hero-12d8b6f0-dee637
1859,1.9595589637756348,,,,,hero-12d8b6f0-dee637
1874,1.9570255279541016,,,,,hero-12d8b6f0-dee637
1903,1.9341062307357788,,,,,hero-12d8b6f0-dee637
1913,1.922738790512085,,,,,hero-12d8b6f0-dee637
1916,1.9338575601577759,,,,,hero-12d8b6f0-dee637
2008,1.8926584720611572,,,,,hero-12d8b6f0-dee637
2034,1.8892861604690552,,,,,hero-12d8b6f0-dee637
2126,1.8507037162780762,,,,,hero-12d8b6f0-dee637
2132,1.8529573678970337,,,,,hero-12d8b6f0-dee637
2140,1.8460179567337036,,,,,hero-12d8b6f0-dee637
2183,1.8280386924743652,,,,,hero-12d8b6f0-dee637
2209,1.8247562646865845,,,,,hero-12d8b6f0-dee637
2215,1.8147693872451782,,,,,hero-12d8b6f0-dee637
2260,1.8006185293197632,,,,,hero-12d8b6f0-dee637
2266,1.7853182554244995,,,,,hero-12d8b6f0-dee637
2374,1.7652325630187988,,,,,hero-12d8b6f0-dee637
2384,1.776549220085144,,,,,hero-12d8b6f0-dee637
2413,1.757593035697937,,,,,hero-12d8b6f0-dee637
2417,1.7522647380828857,,,,,hero-12d8b6f0-dee637
2445,1.7415544986724854,,,,,hero-12d8b6f0-dee637
2452,1.7463308572769165,,,,,hero-12d8b6f0-dee637
2461,1.7323989868164062,,,,,hero-12d8b6f0-dee637
2500,1.7219606637954712,,,,,hero-12d8b6f0-dee637
2580,1.7137396335601807,,,,,hero-12d8b6f0-dee637
2606,1.696745753288269,,,,,hero-12d8b6f0-dee637
2634,1.6961555480957031,,,,,hero-12d8b6f0-dee637
2722,1.6833359003067017,,,,,hero-12d8b6f0-dee637
2724,1.660447120666504,,,,,hero-12d8b6f0-dee637
2766,1.6606025695800781,,,,,hero-12d8b6f0-dee637
2785,1.6777653694152832,,,,,hero-12d8b6f0-dee637
2984,1.6274644136428833,,,,,hero-12d8b6f0-dee637
2999,,3.0208895206451416,2.7926151752471924,2.866919755935669,2.5446836948394775,hero-12d8b6f0-dee637
3006,1.6325732469558716,,,,,hero-12d8b6f0-dee637
3091,1.6164265871047974,,,,,hero-12d8b6f0-dee637
3092,1.6336919069290161,,,,,hero-12d8b6f0-dee637
3122,1.6261600255966187,,,,,hero-12d8b6f0-dee637
3180,1.6250604391098022,,,,,hero-12d8b6f0-dee637
3188,1.603278636932373,,,,,hero-12d8b6f0-dee637
3200,1.613162636756897,,,,,hero-12d8b6f0-dee637
3254,1.612106442451477,,,,,hero-12d8b6f0-dee637
3271,1.604875922203064,,,,,hero-12d8b6f0-dee637
3372,1.5836738348007202,,,,,hero-12d8b6f0-dee637
3398,1.5837942361831665,,,,,hero-12d8b6f0-dee637
3424,1.58712899684906,,,,,hero-12d8b6f0-dee637
3441,1.5785713195800781,,,,,hero-12d8b6f0-dee637
3447,1.5900870561599731,,,,,hero-12d8b6f0-dee637
3505,1.5696104764938354,,,,,hero-12d8b6f0-dee637
3558,1.5614646673202515,,,,,hero-12d8b6f0-dee637
3609,1.5568935871124268,,,,,hero-12d8b6f0-dee637
3610,1.5572253465652466,,,,,hero-12d8b6f0-dee637
3689,1.5593154430389404,,,,,hero-12d8b6f0-dee637
3705,1.5535269975662231,,,,,hero-12d8b6f0-dee637
3871,1.5534073114395142,,,,,hero-12d8b6f0-dee637
3901,1.5494734048843384,,,,,hero-12d8b6f0-dee637
3906,1.539268136024475,,,,,hero-12d8b6f0-dee637
3912,1.5474227666854858,,,,,hero-12d8b6f0-dee637
3925,1.5412813425064087,,,,,hero-12d8b6f0-dee637
3954,1.5344226360321045,,,,,hero-12d8b6f0-dee637
3963,1.5451492071151733,,,,,hero-12d8b6f0-dee637
4000,1.5360056161880493,,,,,hero-12d8b6f0-dee637
4039,1.525418996810913,,,,,hero-12d8b6f0-dee637
4080,1.5172340869903564,,,,,hero-12d8b6f0-dee637
4146,1.5224920511245728,,,,,hero-12d8b6f0-dee637
4168,1.5264310836791992,,,,,hero-12d8b6f0-dee637
4175,1.523812174797058,,,,,hero-12d8b6f0-dee637
4310,1.5178329944610596,,,,,hero-12d8b6f0-dee637
4333,1.520924687385559,,,,,hero-12d8b6f0-dee637
4343,1.5039790868759155,,,,,hero-12d8b6f0-dee637
4519,1.5058330297470093,,,,,hero-12d8b6f0-dee637
4603,1.5080418586730957,,,,,hero-12d8b6f0-dee637
4615,1.488873839378357,,,,,hero-12d8b6f0-dee637
4648,1.4983320236206055,,,,,hero-12d8b6f0-dee637
4708,1.4988837242126465,,,,,hero-12d8b6f0-dee637
4776,1.4770931005477905,,,,,hero-12d8b6f0-dee637
4811,1.474643349647522,,,,,hero-12d8b6f0-dee637
4865,1.476874589920044,,,,,hero-12d8b6f0-dee637
4875,1.4850366115570068,,,,,hero-12d8b6f0-dee637
4909,1.484358787536621,,,,,hero-12d8b6f0-dee637
4926,1.4756731986999512,,,,,hero-12d8b6f0-dee637
4996,1.4809257984161377,,,,,hero-12d8b6f0-dee637
5036,1.4693129062652588,,,,,hero-12d8b6f0-dee637
5168,1.4612609148025513,,,,,hero-12d8b6f0-dee637
5192,1.4472401142120361,,,,,hero-12d8b6f0-dee637
5206,1.4583497047424316,,,,,hero-12d8b6f0-dee637
5387,1.4507132768630981,,,,,hero-12d8b6f0-dee637
5546,1.4473395347595215,,,,,hero-12d8b6f0-dee637
5554,1.4337453842163086,,,,,hero-12d8b6f0-dee637
5555,1.4381144046783447,,,,,hero-12d8b6f0-dee637
5588,1.4467006921768188,,,,,hero-12d8b6f0-dee637
5605,1.4288921356201172,,,,,hero-12d8b6f0-dee637
5644,1.4357582330703735,,,,,hero-12d8b6f0-dee637
5719,1.4305319786071777,,,,,hero-12d8b6f0-dee637
5828,1.4277751445770264,,,,,hero-12d8b6f0-dee637
5842,1.4393675327301025,,,,,hero-12d8b6f0-dee637
5866,1.4378339052200317,,,,,hero-12d8b6f0-dee637
5934,1.438581109046936,,,,,hero-12d8b6f0-dee637
5936,1.4269301891326904,,,,,hero-12d8b6f0-dee637
5962,1.4170976877212524,,,,,hero-12d8b6f0-dee637
5978,1.4338313341140747,,,,,hero-12d8b6f0-dee637
5984,1.4414299726486206,,,,,hero-12d8b6f0-dee637
5999,,2.739532232284546,2.5455141067504883,2.5877270698547363,2.299091100692749,hero-12d8b6f0-dee637
6011,1.4249509572982788,,,,,hero-12d8b6f0-dee637
6032,1.4154820442199707,,,,,hero-12d8b6f0-dee637
6091,1.4203137159347534,,,,,hero-12d8b6f0-dee637
6108,1.41945219039917,,,,,hero-12d8b6f0-dee637
6115,1.4250091314315796,,,,,hero-12d8b6f0-dee637
6130,1.4062703847885132,,,,,hero-12d8b6f0-dee637
6207,1.4007030725479126,,,,,hero-12d8b6f0-dee637
6257,1.4123772382736206,,,,,hero-12d8b6f0-dee637
6367,1.4244486093521118,,,,,hero-12d8b6f0-dee637
6381,1.4210931062698364,,,,,hero-12d8b6f0-dee637
6513,1.410581111907959,,,,,hero-12d8b6f0-dee637
6515,1.4222015142440796,,,,,hero-12d8b6f0-dee637
6534,1.4137505292892456,,,,,hero-12d8b6f0-dee637
6582,1.430169701576233,,,,,hero-12d8b6f0-dee637
6711,1.4124281406402588,,,,,hero-12d8b6f0-dee637
6742,1.406002402305603,,,,,hero-12d8b6f0-dee637
6806,1.4047014713287354,,,,,hero-12d8b6f0-dee637
6814,1.420156717300415,,,,,hero-12d8b6f0-dee637
6845,1.403029203414917,,,,,hero-12d8b6f0-dee637
6993,1.4032914638519287,,,,,hero-12d8b6f0-dee637
7030,1.3992666006088257,,,,,hero-12d8b6f0-dee637
7070,1.3973710536956787,,,,,hero-12d8b6f0-dee637
7140,1.4069007635116577,,,,,hero-12d8b6f0-dee637
7193,1.3890856504440308,,,,,hero-12d8b6f0-dee637
7222,1.4044638872146606,,,,,hero-12d8b6f0-dee637
7225,1.4112982749938965,,,,,hero-12d8b6f0-dee637
7304,1.4011180400848389,,,,,hero-12d8b6f0-dee637
7370,1.4017771482467651,,,,,hero-12d8b6f0-dee637
7374,1.381097435951233,,,,,hero-12d8b6f0-dee637
7445,1.3849412202835083,,,,,hero-12d8b6f0-dee637
7484,1.3959263563156128,,,,,hero-12d8b6f0-dee637
7496,1.376775860786438,,,,,hero-12d8b6f0-dee637
7525,1.3886901140213013,,,,,hero-12d8b6f0-dee637
7557,1.3946038484573364,,,,,hero-12d8b6f0-dee637
7627,1.388512134552002,,,,,hero-12d8b6f0-dee637
7629,1.3759244680404663,,,,,hero-12d8b6f0-dee637
7663,1.3917431831359863,,,,,hero-12d8b6f0-dee637
7675,1.3835431337356567,,,,,hero-12d8b6f0-dee637
7730,1.3840727806091309,,,,,hero-12d8b6f0-dee637
7745,1.3895134925842285,,,,,hero-12d8b6f0-dee637
7820,1.3798691034317017,,,,,hero-12d8b6f0-dee637
7840,1.3828552961349487,,,,,hero-12d8b6f0-dee637
7923,1.3756641149520874,,,,,hero-12d8b6f0-dee637
7931,1.3695626258850098,,,,,hero-12d8b6f0-dee637
8168,1.3869128227233887,,,,,hero-12d8b6f0-dee637
8256,1.3906805515289307,,,,,hero-12d8b6f0-dee637
8289,1.3858387470245361,,,,,hero-12d8b6f0-dee637
8305,1.3701825141906738,,,,,hero-12d8b6f0-dee637
8377,1.37818443775177,,,,,hero-12d8b6f0-dee637
8407,1.3849657773971558,,,,,hero-12d8b6f0-dee637
8445,1.3811665773391724,,,,,hero-12d8b6f0-dee637
8484,1.3741270303726196,,,,,hero-12d8b6f0-dee637
8520,1.371573567390442,,,,,hero-12d8b6f0-dee637
8554,1.386064052581787,,,,,hero-12d8b6f0-dee637
8555,1.3688554763793945,,,,,hero-12d8b6f0-dee637
8566,1.3715109825134277,,,,,hero-12d8b6f0-dee637
8576,1.3700120449066162,,,,,hero-12d8b6f0-dee637
8578,1.3647807836532593,,,,,hero-12d8b6f0-dee637
8700,1.370896339416504,,,,,hero-12d8b6f0-dee637
8719,1.357336163520813,,,,,hero-12d8b6f0-dee637
8749,1.3771089315414429,,,,,hero-12d8b6f0-dee637
