_step,validation/lm_loss,train/lm_loss,_segment
61,,8.07372760772705,2i9stqg2
74,,7.7985005378723145,2i9stqg2
185,,6.206677436828613,2i9stqg2
270,,5.670091152191162,2i9stqg2
284,,5.548103332519531,2i9stqg2
322,,5.406009197235107,2i9stqg2
361,,5.210338592529297,2i9stqg2
519,,4.5133137702941895,2i9stqg2
571,,4.305834770202637,2i9stqg2
681,,3.880666494369507,2i9stqg2
905,,3.506805896759033,2i9stqg2
928,,3.465777635574341,2i9stqg2
1056,,3.34826397895813,2i9stqg2
1068,,3.3733808994293213,2i9stqg2
1454,,3.080894947052002,2i9stqg2
1505,,3.048964738845825,2i9stqg2
1669,,2.939410448074341,2i9stqg2
1702,,2.943141460418701,2i9stqg2
1917,,2.795498847961426,2i9stqg2
2009,,2.8445324897766113,2i9stqg2
2127,,2.7868194580078125,2i9stqg2
2133,,2.767355442047119,2i9stqg2
2141,,2.8131000995635986,2i9stqg2
2184,,2.757132053375244,2i9stqg2
2216,,2.758678436279297,2i9stqg2
2267,,2.779158353805542,2i9stqg2
2418,,2.7364845275878906,2i9stqg2
2453,,2.701796293258667,2i9stqg2
2607,,2.681018590927124,2i9stqg2
2635,,2.7089364528656006,2i9stqg2
2786,,2.6609461307525635,2i9stqg2
3092,,2.5992958545684814,2i9stqg2
3093,,2.6207172870635986,2i9stqg2
3181,,2.603484630584717,2i9stqg2
3189,,2.6029245853424072,2i9stqg2
3373,,2.598341703414917,2i9stqg2
3399,,2.61027193069458,2i9stqg2
3425,,2.579977512359619,2i9stqg2
3442,,2.582775831222534,2i9stqg2
3506,,2.568092107772827,2i9stqg2
3559,,2.5553066730499268,2i9stqg2
3611,,2.563912868499756,2i9stqg2
3907,,2.5553994178771973,2i9stqg2
4081,,2.5002663135528564,2i9stqg2
4147,,2.5325119495391846,2i9stqg2
4176,,2.5517568588256836,2i9stqg2
4520,,2.494763135910034,2i9stqg2
4604,,2.500142812728882,2i9stqg2
4709,,2.5232062339782715,2i9stqg2
4812,,2.4488744735717773,2i9stqg2
4866,,2.46229887008667,2i9stqg2
4876,,2.439852237701416,2i9stqg2
4910,,2.4823927879333496,2i9stqg2
5037,,2.490023136138916,2i9stqg2
5169,,2.4627296924591064,2i9stqg2
5193,,2.4554920196533203,2i9stqg2
5388,,2.4580161571502686,2i9stqg2
5867,,2.4727511405944824,2i9stqg2
5937,,2.4406063556671143,2i9stqg2
6033,,2.418591260910034,2i9stqg2
6092,,2.431201934814453,2i9stqg2
6116,,2.4244487285614014,2i9stqg2
6208,,2.3949193954467773,2i9stqg2
6368,,2.3869376182556152,2i9stqg2
6516,,2.423868417739868,2i9stqg2
6712,,2.4199326038360596,2i9stqg2
6807,,2.4127330780029297,2i9stqg2
6815,,2.4013218879699707,2i9stqg2
6994,,2.38832688331604,2i9stqg2
7141,,2.4256742000579834,2i9stqg2
7223,,2.4125826358795166,2i9stqg2
7375,,2.405933380126953,2i9stqg2
7446,,2.409778118133545,2i9stqg2
7526,,2.3837685585021973,2i9stqg2
7630,,2.416898488998413,2i9stqg2
7664,,2.410900831222534,2i9stqg2
7746,,2.39455246925354,2i9stqg2
7821,,2.366034507751465,2i9stqg2
7924,,2.3812766075134277,2i9stqg2
8169,,2.336350679397583,2i9stqg2
8290,,2.3585946559906006,2i9stqg2
8306,,2.3790266513824463,2i9stqg2
8408,,2.35046124458313,2i9stqg2
8446,,2.3840861320495605,2i9stqg2
8567,,2.363532066345215,2i9stqg2
8579,,2.3436667919158936,2i9stqg2
8757,,2.355435371398926,2i9stqg2
8782,,2.3613853454589844,2i9stqg2
8799,,2.369638204574585,2i9stqg2
8805,,2.3444061279296875,2i9stqg2
8977,,2.336763620376587,2i9stqg2
9051,,2.356710195541382,2i9stqg2
9331,,2.357130289077759,2i9stqg2
9543,,2.3912343978881836,2i9stqg2
9675,,2.356682777404785,2i9stqg2
9842,,2.3491568565368652,2i9stqg2
9879,,2.34744930267334,2i9stqg2
9899,,2.3111798763275146,2i9stqg2
10283,,2.3355705738067627,2i9stqg2
10297,,2.3374204635620117,2i9stqg2
10304,,2.3237404823303223,2i9stqg2
10305,,2.3062729835510254,2i9stqg2
10450,,2.349982738494873,2i9stqg2
10814,,2.3125123977661133,2i9stqg2
10871,,2.3952813148498535,2i9stqg2
10886,,2.315865993499756,2i9stqg2
10896,,2.319810152053833,2i9stqg2
10942,,2.3044135570526123,2i9stqg2
11181,,2.3591229915618896,2i9stqg2
11267,,2.331697702407837,2i9stqg2
11322,,2.3050618171691895,2i9stqg2
11369,,2.3434109687805176,2i9stqg2
11402,,2.3159658908843994,2i9stqg2
11465,,2.314851999282837,2i9stqg2
11476,,2.316096782684326,2i9stqg2
11665,,2.2908241748809814,2i9stqg2
11704,,2.3489668369293213,2i9stqg2
11717,,2.2908620834350586,2i9stqg2
12008,,2.3120036125183105,2i9stqg2
12252,,2.279658794403076,2i9stqg2
12277,,2.3140504360198975,2i9stqg2
12292,,2.2851524353027344,2i9stqg2
12478,,2.3021421432495117,2i9stqg2
12541,,2.314117670059204,2i9stqg2
12684,,2.2979583740234375,2i9stqg2
12828,,2.286309242248535,2i9stqg2
12837,,2.284062623977661,2i9stqg2
12985,,2.2722835540771484,2i9stqg2
13000,,2.2990517616271973,2i9stqg2
13022,,2.3110616207122803,2i9stqg2
13042,,2.2934844493865967,2i9stqg2
13100,,2.246742010116577,2i9stqg2
13232,,2.266087532043457,2i9stqg2
13244,,2.317826747894287,2i9stqg2
13636,,2.2844347953796387,2i9stqg2
13791,,2.320180654525757,2i9stqg2
13885,,2.268105983734131,2i9stqg2
13958,,2.273975372314453,2i9stqg2
14014,,2.303694248199463,2i9stqg2
14044,,2.2862353324890137,2i9stqg2
14048,,2.285163164138794,2i9stqg2
14089,,2.267934799194336,2i9stqg2
14131,,2.2958855628967285,2i9stqg2
14155,,2.2637295722961426,2i9stqg2
14180,,2.306433916091919,2i9stqg2
14197,,2.3149642944335938,2i9stqg2
14260,,2.2766294479370117,2i9stqg2
14417,,2.286320447921753,2i9stqg2
14520,,2.284656286239624,2i9stqg2
14714,,2.255265474319458,2i9stqg2
14783,,2.2793760299682617,2i9stqg2
14955,,2.2705957889556885,2i9stqg2
15019,,2.280280113220215,2i9stqg2
15388,,2.3001489639282227,2i9stqg2
15446,,2.280911445617676,2i9stqg2
15470,,2.24959397315979,2i9stqg2
15570,,2.23972225189209,2i9stqg2
15825,,2.317823648452759,2i9stqg2
15853,,2.241495370864868,2i9stqg2
15929,,2.26228666305542,2i9stqg2
16151,,2.2556982040405273,2i9stqg2
16212,,2.256096363067627,2i9stqg2
16246,,2.233865261077881,2i9stqg2
16464,,2.267038106918335,2i9stqg2
16469,,2.2493460178375244,2i9stqg2
16623,,2.2664759159088135,2i9stqg2
16628,,2.262423515319824,2i9stqg2
16723,,2.2457687854766846,2i9stqg2
16858,,2.259120225906372,2i9stqg2
16936,,2.2413828372955322,2i9stqg2
16963,,2.3092033863067627,2i9stqg2
17196,,2.27931547164917,2i9stqg2
17733,,2.281670570373535,2i9stqg2
17744,,2.239631414413452,2i9stqg2
17749,,2.2411293983459473,2i9stqg2
17851,,2.277230739593506,2i9stqg2
18068,,2.2562808990478516,2i9stqg2
18233,,2.257418155670166,2i9stqg2
18286,,2.2564198970794678,2i9stqg2
18448,,2.263580322265625,2i9stqg2
18598,,2.270331382751465,2i9stqg2
18700,,2.254380702972412,2i9stqg2
18734,,2.212913751602173,2i9stqg2
18815,,2.2578742504119873,2i9stqg2
18861,,2.256364345550537,2i9stqg2
18922,,2.2482354640960693,2i9stqg2
19138,,2.263803720474243,2i9stqg2
19183,,2.2765471935272217,2i9stqg2
19196,,2.2156879901885986,2i9stqg2
19246,,2.2014544010162354,2i9stqg2
19254,,2.287309408187866,2i9stqg2
19443,,2.2171683311462402,2i9stqg2
19637,,2.2153773307800293,2i9stqg2
19678,,2.23256516456604,2i9stqg2
