_step,validation/lm_loss,train/lm_loss,_segment
126002,,1.8306317329406738,vi7laank
126019,,1.796486496925354,vi7laank
126031,,1.803546667098999,vi7laank
126056,,1.7598216533660889,vi7laank
126061,,1.7755212783813477,vi7laank
126063,,1.7957128286361694,vi7laank
126074,,1.8105709552764893,vi7laank
126088,,1.7619037628173828,vi7laank
126117,,1.8270506858825684,vi7laank
126130,,1.7666125297546387,vi7laank
126152,,1.8287596702575684,vi7laank
126160,,1.7899829149246216,vi7laank
126177,,1.8028993606567383,vi7laank
126182,,1.7955036163330078,vi7laank
126184,,1.808786153793335,vi7laank
126185,,1.8125081062316895,vi7laank
126189,,1.8098905086517334,vi7laank
126200,,1.8187556266784668,vi7laank
126224,,1.7654541730880737,vi7laank
126228,,1.7836732864379883,vi7laank
126270,,1.7816669940948486,vi7laank
126274,,1.8134008646011353,vi7laank
126280,,1.7963948249816895,vi7laank
126282,,1.7703888416290283,vi7laank
126284,,1.7990202903747559,vi7laank
126291,,1.7884633541107178,vi7laank
126295,,1.7992173433303833,vi7laank
126303,,1.811344861984253,vi7laank
126314,,1.798658847808838,vi7laank
126317,,1.7993332147598267,vi7laank
126322,,1.803108811378479,vi7laank
126323,,1.781968116760254,vi7laank
126331,,1.7945970296859741,vi7laank
126332,,1.7897095680236816,vi7laank
126344,,1.8027927875518799,vi7laank
126353,,1.7717329263687134,vi7laank
126361,,1.813004732131958,vi7laank
126371,,1.8271805047988892,vi7laank
126378,,1.780003309249878,vi7laank
126397,,1.748052716255188,vi7laank
126425,,1.7813570499420166,vi7laank
126430,,1.8022472858428955,vi7laank
126445,,1.7509076595306396,vi7laank
126446,,1.7878851890563965,vi7laank
126469,,1.8231236934661865,vi7laank
126480,,1.7871251106262207,vi7laank
126493,,1.7603682279586792,vi7laank
126502,,1.824699878692627,vi7laank
126519,,1.8166695833206177,vi7laank
126524,,1.812625527381897,vi7laank
126565,,1.7725811004638672,vi7laank
126571,,1.816169023513794,vi7laank
126612,,1.7964783906936646,vi7laank
126614,,1.7668225765228271,vi7laank
126623,,1.8033101558685303,vi7laank
126638,,1.778560757637024,vi7laank
126643,,1.8368511199951172,vi7laank
126650,,1.8030353784561157,vi7laank
126654,,1.8030822277069092,vi7laank
126681,,1.798112392425537,vi7laank
126693,,1.7784689664840698,vi7laank
126699,,1.8223967552185059,vi7laank
126708,,1.7869057655334473,vi7laank
126730,,1.8058350086212158,vi7laank
126734,,1.8102946281433105,vi7laank
126752,,1.780461311340332,vi7laank
126757,,1.8507457971572876,vi7laank
126769,,1.8324546813964844,vi7laank
126791,,1.803078055381775,vi7laank
126803,,1.8100478649139404,vi7laank
126837,,1.7959939241409302,vi7laank
126839,,1.8301329612731934,vi7laank
126841,,1.7933937311172485,vi7laank
126847,,1.7787351608276367,vi7laank
126868,,1.7966169118881226,vi7laank
126877,,1.7960466146469116,vi7laank
126884,,1.8375418186187744,vi7laank
126885,,1.7939528226852417,vi7laank
126905,,1.8201615810394287,vi7laank
126910,,1.7990357875823975,vi7laank
126912,,1.7817981243133545,vi7laank
126920,,1.76847505569458,vi7laank
126922,,1.7882030010223389,vi7laank
126925,,1.8196277618408203,vi7laank
126928,,1.8110934495925903,vi7laank
126940,,1.7769261598587036,vi7laank
126972,,1.7876113653182983,vi7laank
127000,1.7960913181304932,,vi7laank
127001,,1.8051774501800537,vi7laank
127034,,1.8070920705795288,vi7laank
127035,,1.8142956495285034,vi7laank
127037,,1.7797843217849731,vi7laank
127043,,1.7663495540618896,vi7laank
127049,,1.808652639389038,vi7laank
127056,,1.814016580581665,vi7laank
127068,,1.8037172555923462,vi7laank
127073,,1.8061221837997437,vi7laank
127076,,1.7907596826553345,vi7laank
127084,,1.810361623764038,vi7laank
127101,,1.8226559162139893,vi7laank
127130,,1.7854211330413818,vi7laank
127134,,1.811344861984253,vi7laank
127143,,1.8245080709457397,vi7laank
127151,,1.8223686218261719,vi7laank
127153,,1.8098739385604858,vi7laank
127155,,1.8209244012832642,vi7laank
127165,,1.7962565422058105,vi7laank
127171,,1.8033562898635864,vi7laank
127183,,1.8029091358184814,vi7laank
127208,,1.8291305303573608,vi7laank
127210,,1.8181076049804688,vi7laank
127213,,1.7918726205825806,vi7laank
127214,,1.7942829132080078,vi7laank
127220,,1.7671855688095093,vi7laank
127264,,1.822373628616333,vi7laank
127266,,1.7709228992462158,vi7laank
127280,,1.78990638256073,vi7laank
127371,,1.8021117448806763,vi7laank
127372,,1.7694828510284424,vi7laank
127382,,1.8191709518432617,vi7laank
127400,,1.7744495868682861,vi7laank
127413,,1.8161042928695679,vi7laank
127426,,1.7897043228149414,vi7laank
127433,,1.8194301128387451,vi7laank
127443,,1.7689218521118164,vi7laank
127447,,1.7791246175765991,vi7laank
127454,,1.8047772645950317,vi7laank
127458,,1.79133939743042,vi7laank
127472,,1.7769391536712646,vi7laank
127484,,1.7882472276687622,vi7laank
127491,,1.8066502809524536,vi7laank
127505,,1.8020808696746826,vi7laank
