_step,validation/lm_loss,train/lm_loss,_segment
35061,,2.2785916328430176,12j05401
35063,,2.3109686374664307,12j05401
35074,,2.2912917137145996,12j05401
35185,,2.287811756134033,12j05401
35270,,2.2946417331695557,12j05401
35284,,2.2792458534240723,12j05401
35322,,2.2739357948303223,12j05401
35361,,2.2901053428649902,12j05401
35519,,2.274327039718628,12j05401
35571,,2.3202016353607178,12j05401
35681,,2.2704803943634033,12j05401
35905,,2.2884817123413086,12j05401
35928,,2.3121752738952637,12j05401
36056,,2.2783031463623047,12j05401
36068,,2.2706432342529297,12j05401
36153,,2.301694869995117,12j05401
36165,,2.2980735301971436,12j05401
36213,,2.2840187549591064,12j05401
36413,,2.320241928100586,12j05401
36454,,2.284311532974243,12j05401
36505,,2.2459988594055176,12j05401
36624,,2.273425579071045,12j05401
36669,,2.2748870849609375,12j05401
36702,,2.296583652496338,12j05401
36770,,2.246926784515381,12j05401
36844,,2.316373586654663,12j05401
36860,,2.268833637237549,12j05401
36904,,2.2526724338531494,12j05401
36917,,2.3079957962036133,12j05401
37009,,2.304352283477783,12j05401
37127,,2.3313796520233154,12j05401
37133,,2.3073694705963135,12j05401
37141,,2.2893307209014893,12j05401
37184,,2.2852470874786377,12j05401
37216,,2.298476457595825,12j05401
37267,,2.268850088119507,12j05401
37414,,2.2976438999176025,12j05401
37418,,2.242781162261963,12j05401
37453,,2.2712395191192627,12j05401
37607,,2.321805953979492,12j05401
37635,,2.286421298980713,12j05401
37786,,2.2923457622528076,12j05401
38092,,2.276069402694702,12j05401
38093,,2.2208526134490967,12j05401
38123,,2.2929418087005615,12j05401
38181,,2.2554852962493896,12j05401
38189,,2.262946367263794,12j05401
38373,,2.237999200820923,12j05401
38399,,2.291810989379883,12j05401
38425,,2.2795045375823975,12j05401
38442,,2.2688040733337402,12j05401
38506,,2.3069746494293213,12j05401
38559,,2.3042001724243164,12j05401
38611,,2.2938926219940186,12j05401
38706,,2.2734575271606445,12j05401
38902,,2.2860422134399414,12j05401
38907,,2.283076763153076,12j05401
39081,,2.2853119373321533,12j05401
39147,,2.272447109222412,12j05401
39176,,2.285353422164917,12j05401
39311,,2.3235578536987305,12j05401
39344,,2.278907299041748,12j05401
39520,,2.251950263977051,12j05401
39604,,2.287799835205078,12j05401
39649,,2.2479496002197266,12j05401
39709,,2.3012304306030273,12j05401
39812,,2.275848865509033,12j05401
39866,,2.2688145637512207,12j05401
39876,,2.2904112339019775,12j05401
39910,,2.3313612937927246,12j05401
39927,,2.2779738903045654,12j05401
39997,,2.2766640186309814,12j05401
40037,,2.303225517272949,12j05401
40169,,2.2845754623413086,12j05401
40193,,2.2656214237213135,12j05401
40388,,2.267909049987793,12j05401
40556,,2.2446603775024414,12j05401
40867,,2.2450332641601562,12j05401
40937,,2.308680295944214,12j05401
40963,,2.3001346588134766,12j05401
40985,,2.287367820739746,12j05401
41033,,2.303007125854492,12j05401
41092,,2.2692363262176514,12j05401
41116,,2.239910840988159,12j05401
41208,,2.271378517150879,12j05401
41368,,2.272066116333008,12j05401
41516,,2.263240337371826,12j05401
41712,,2.2921700477600098,12j05401
41743,,2.278769016265869,12j05401
41807,,2.2799770832061768,12j05401
41815,,2.2932443618774414,12j05401
41994,,2.2561049461364746,12j05401
42071,,2.272258996963501,12j05401
42141,,2.277275323867798,12j05401
42223,,2.2967171669006348,12j05401
42375,,2.2691426277160645,12j05401
42446,,2.2372992038726807,12j05401
42526,,2.237149715423584,12j05401
42630,,2.26176118850708,12j05401
42664,,2.2913410663604736,12j05401
42746,,2.2604012489318848,12j05401
42821,,2.2853989601135254,12j05401
42841,,2.2537641525268555,12j05401
42924,,2.2634472846984863,12j05401
42932,,2.269862174987793,12j05401
43169,,2.2764272689819336,12j05401
43290,,2.281376361846924,12j05401
43306,,2.2747888565063477,12j05401
43408,,2.2667250633239746,12j05401
43446,,2.241161346435547,12j05401
43521,,2.27669620513916,12j05401
43556,,2.2271981239318848,12j05401
43567,,2.2550768852233887,12j05401
43579,,2.3010687828063965,12j05401
43757,,2.2752251625061035,12j05401
43782,,2.2771339416503906,12j05401
43799,,2.2414839267730713,12j05401
43805,,2.2885642051696777,12j05401
43806,,2.267977237701416,12j05401
43926,,2.258937358856201,12j05401
43935,,2.292140483856201,12j05401
43977,,2.292407751083374,12j05401
44051,,2.256929636001587,12j05401
44089,,2.287043333053589,12j05401
44103,,2.3061583042144775,12j05401
44331,,2.238434076309204,12j05401
44543,,2.2797696590423584,12j05401
44675,,2.2861499786376953,12j05401
44842,,2.3015284538269043,12j05401
