_step,validation/lm_loss,train/lm_loss,_segment
61,,9.161641120910645,2vcd53l4
74,,8.774520874023438,2vcd53l4
185,,6.574337482452393,2vcd53l4
270,,5.920950889587402,2vcd53l4
284,,5.789463043212891,2vcd53l4
322,,5.609215259552002,2vcd53l4
361,,5.492793083190918,2vcd53l4
519,,4.948855400085449,2vcd53l4
571,,4.7901387214660645,2vcd53l4
681,,4.401721954345703,2vcd53l4
905,,3.8846826553344727,2vcd53l4
928,,3.877415657043457,2vcd53l4
1056,,3.786975383758545,2vcd53l4
1068,,3.7700939178466797,2vcd53l4
1454,,3.5335662364959717,2vcd53l4
1505,,3.534621238708496,2vcd53l4
1669,,3.4063494205474854,2vcd53l4
1702,,3.4628450870513916,2vcd53l4
1917,,3.3643100261688232,2vcd53l4
2009,,3.3645291328430176,2vcd53l4
2127,,3.313614845275879,2vcd53l4
2133,,3.3188154697418213,2vcd53l4
2141,,3.302760124206543,2vcd53l4
2184,,3.2986621856689453,2vcd53l4
2216,,3.290872812271118,2vcd53l4
2267,,3.300307035446167,2vcd53l4
2418,,3.1855568885803223,2vcd53l4
2453,,3.2966244220733643,2vcd53l4
2607,,3.2511239051818848,2vcd53l4
2635,,3.2303333282470703,2vcd53l4
2786,,3.240234375,2vcd53l4
3092,,3.1588189601898193,2vcd53l4
3093,,3.178818702697754,2vcd53l4
3181,,3.128418445587158,2vcd53l4
3189,,3.206754207611084,2vcd53l4
3373,,3.201509475708008,2vcd53l4
3399,,3.181560754776001,2vcd53l4
3425,,3.172633409500122,2vcd53l4
3442,,3.1418793201446533,2vcd53l4
3506,,3.1077139377593994,2vcd53l4
3559,,3.1235995292663574,2vcd53l4
3611,,3.1933043003082275,2vcd53l4
3907,,3.1416873931884766,2vcd53l4
4081,,3.119537830352783,2vcd53l4
4147,,3.1449341773986816,2vcd53l4
4176,,3.1203453540802,2vcd53l4
4520,,3.0637447834014893,2vcd53l4
4604,,3.079436779022217,2vcd53l4
4709,,3.052015781402588,2vcd53l4
4812,,3.0673651695251465,2vcd53l4
4866,,3.082322120666504,2vcd53l4
4876,,3.09738826751709,2vcd53l4
4910,,3.099161148071289,2vcd53l4
5037,,3.075697183609009,2vcd53l4
5169,,3.0659945011138916,2vcd53l4
5193,,3.064042091369629,2vcd53l4
5388,,3.0910825729370117,2vcd53l4
5867,,3.0372731685638428,2vcd53l4
5937,,3.053006649017334,2vcd53l4
6033,,3.0081286430358887,2vcd53l4
6092,,3.0866260528564453,2vcd53l4
6116,,3.0727126598358154,2vcd53l4
6208,,3.0017738342285156,2vcd53l4
6368,,3.035893678665161,2vcd53l4
6516,,3.0625240802764893,2vcd53l4
6712,,3.075968027114868,2vcd53l4
6807,,3.0114974975585938,2vcd53l4
6815,,3.039778709411621,2vcd53l4
6994,,3.0713486671447754,2vcd53l4
7141,,3.0235800743103027,2vcd53l4
7223,,3.047926902770996,2vcd53l4
7375,,2.9600372314453125,2vcd53l4
7446,,3.0178093910217285,2vcd53l4
