_step,train/CE loss,_segment
1,1.485515832901001,j9nypgrc
2,1.9408541917800903,j9nypgrc
3,1.6102268695831299,j9nypgrc
4,1.6457148790359497,j9nypgrc
5,1.6209694147109985,j9nypgrc
6,1.600224256515503,j9nypgrc
7,1.608176589012146,j9nypgrc
8,1.6913845539093018,j9nypgrc
9,1.9575221538543701,j9nypgrc
10,1.7608873844146729,j9nypgrc
11,1.6564500331878662,j9nypgrc
12,1.6018731594085693,j9nypgrc
13,1.553222894668579,j9nypgrc
14,1.5132646560668945,j9nypgrc
15,1.6080451011657715,j9nypgrc
16,1.5433390140533447,j9nypgrc
17,1.47525954246521,j9nypgrc
18,1.4719858169555664,j9nypgrc
19,1.4582231044769287,j9nypgrc
20,1.498848795890808,j9nypgrc
21,1.534319281578064,j9nypgrc
22,1.4355583190917969,j9nypgrc
23,1.500231385231018,j9nypgrc
24,1.3882620334625244,j9nypgrc
25,1.436885952949524,j9nypgrc
26,1.4323539733886719,j9nypgrc
27,1.4450960159301758,j9nypgrc
28,1.4468952417373657,j9nypgrc
29,1.4448761940002441,j9nypgrc
30,1.453503131866455,j9nypgrc
31,1.3253307342529297,j9nypgrc
32,1.4664565324783325,j9nypgrc
33,1.4235531091690063,j9nypgrc
34,1.3649665117263794,j9nypgrc
35,1.3769803047180176,j9nypgrc
36,1.4339367151260376,j9nypgrc
37,1.468776822090149,j9nypgrc
38,1.3960188627243042,j9nypgrc
39,1.4264662265777588,j9nypgrc
40,1.4503731727600098,j9nypgrc
41,1.3731809854507446,j9nypgrc
42,1.339891791343689,j9nypgrc
43,1.444348692893982,j9nypgrc
44,1.3958008289337158,j9nypgrc
45,1.3972210884094238,j9nypgrc
46,1.4085358381271362,j9nypgrc
47,1.4010961055755615,j9nypgrc
48,1.4329386949539185,j9nypgrc
49,1.3960036039352417,j9nypgrc
50,1.4085686206817627,j9nypgrc
51,1.3987538814544678,j9nypgrc
52,1.3163872957229614,j9nypgrc
53,1.4177213907241821,j9nypgrc
54,1.3683689832687378,j9nypgrc
55,1.3800091743469238,j9nypgrc
56,1.3934435844421387,j9nypgrc
57,1.4323068857192993,j9nypgrc
58,1.3775862455368042,j9nypgrc
59,1.3753472566604614,j9nypgrc
60,1.3946000337600708,j9nypgrc
61,1.3424739837646484,j9nypgrc
62,1.4430354833602905,j9nypgrc
63,1.4124031066894531,j9nypgrc
64,1.3692340850830078,j9nypgrc
65,1.426457405090332,j9nypgrc
66,1.4544118642807007,j9nypgrc
67,1.464976191520691,j9nypgrc
68,1.4521950483322144,j9nypgrc
