_step,train/CE loss,_segment
2,1.1813617944717407,u0waaxom
19,1.166674256324768,u0waaxom
31,1.2337371110916138,u0waaxom
48,1.1608939170837402,u0waaxom
54,1.150415062904358,u0waaxom
55,1.188962459564209,u0waaxom
56,1.146601915359497,u0waaxom
61,1.1740285158157349,u0waaxom
63,1.199987530708313,u0waaxom
74,1.2158702611923218,u0waaxom
82,1.166723370552063,u0waaxom
88,1.259312629699707,u0waaxom
96,1.1613844633102417,u0waaxom
117,1.2037920951843262,u0waaxom
122,1.1489410400390625,u0waaxom
130,1.2047876119613647,u0waaxom
131,1.1356309652328491,u0waaxom
152,1.2086694240570068,u0waaxom
160,1.2480192184448242,u0waaxom
163,1.1756412982940674,u0waaxom
177,1.2076343297958374,u0waaxom
182,1.162087321281433,u0waaxom
184,1.136598825454712,u0waaxom
185,1.1778143644332886,u0waaxom
189,1.2169777154922485,u0waaxom
196,1.1653422117233276,u0waaxom
200,1.2265673875808716,u0waaxom
224,1.1557931900024414,u0waaxom
228,1.1849974393844604,u0waaxom
258,1.2388767004013062,u0waaxom
262,1.1620395183563232,u0waaxom
263,1.1891417503356934,u0waaxom
270,1.1875407695770264,u0waaxom
274,1.1842741966247559,u0waaxom
275,1.1742745637893677,u0waaxom
280,1.1922348737716675,u0waaxom
282,1.1264255046844482,u0waaxom
284,1.1791163682937622,u0waaxom
291,1.1352739334106445,u0waaxom
295,1.2133933305740356,u0waaxom
303,1.1880007982254028,u0waaxom
314,1.1996965408325195,u0waaxom
317,1.175978183746338,u0waaxom
322,1.1631300449371338,u0waaxom
323,1.1806588172912598,u0waaxom
331,1.210625410079956,u0waaxom
332,1.1873373985290527,u0waaxom
344,1.1701065301895142,u0waaxom
353,1.1792653799057007,u0waaxom
361,1.1771202087402344,u0waaxom
371,1.1837115287780762,u0waaxom
378,1.2050085067749023,u0waaxom
397,1.1383798122406006,u0waaxom
406,1.1624380350112915,u0waaxom
425,1.2386529445648193,u0waaxom
429,1.230634331703186,u0waaxom
430,1.2079590559005737,u0waaxom
445,1.177439570426941,u0waaxom
446,1.2113990783691406,u0waaxom
