_step,train/CE loss,eval/lm/c4_en-validation/CE loss,eval/lm/pile-validation/CE loss,eval/lm/dolma_common-crawl-validation/CE loss,_segment
1,12.515037536621094,,,,d7tsy0sp
61,8.00762939453125,,,,d7tsy0sp
150,6.601320266723633,,,,d7tsy0sp
243,5.769898414611816,,,,d7tsy0sp
318,5.204797744750977,,,,d7tsy0sp
430,4.653409004211426,,,,d7tsy0sp
542,4.000205039978027,,,,d7tsy0sp
644,3.6889946460723877,,,,d7tsy0sp
721,3.5964179039001465,,,,d7tsy0sp
833,3.414823293685913,,,,d7tsy0sp
910,3.3648390769958496,,,,d7tsy0sp
982,3.200258255004883,,,,d7tsy0sp
1000,,3.908076524734497,3.131887674331665,4.023298740386963,d7tsy0sp
1049,3.2779457569122314,,,,d7tsy0sp
1153,3.1291847229003906,,,,d7tsy0sp
1252,3.0084049701690674,,,,d7tsy0sp
1371,2.928744077682495,,,,d7tsy0sp
1456,2.860062599182129,,,,d7tsy0sp
1549,2.792698383331299,,,,d7tsy0sp
1630,2.7863731384277344,,,,d7tsy0sp
1710,2.6985607147216797,,,,d7tsy0sp
1834,2.7063233852386475,,,,d7tsy0sp
1924,2.6978743076324463,,,,d7tsy0sp
2000,,3.2939958572387695,2.5478508472442627,3.4251627922058105,d7tsy0sp
2016,2.6350367069244385,,,,d7tsy0sp
2107,2.588435411453247,,,,d7tsy0sp
2194,2.573500394821167,,,,d7tsy0sp
2286,2.5604708194732666,,,,d7tsy0sp
2392,2.4982845783233643,,,,d7tsy0sp
2464,2.506678581237793,,,,d7tsy0sp
2521,2.4952950477600098,,,,d7tsy0sp
2610,2.472339391708374,,,,d7tsy0sp
2714,2.4449164867401123,,,,d7tsy0sp
2787,2.429156541824341,,,,d7tsy0sp
2853,2.4227731227874756,,,,d7tsy0sp
2952,2.4173202514648438,,,,d7tsy0sp
3000,,3.015662908554077,2.303833484649658,3.151548147201538,d7tsy0sp
3070,2.384674072265625,,,,d7tsy0sp
3154,2.411008596420288,,,,d7tsy0sp
3221,2.3616902828216553,,,,d7tsy0sp
3294,2.370351791381836,,,,d7tsy0sp
3374,2.369658946990967,,,,d7tsy0sp
3472,2.3552680015563965,,,,d7tsy0sp
3570,2.307573080062866,,,,d7tsy0sp
3669,2.3082127571105957,,,,d7tsy0sp
3790,2.3333699703216553,,,,d7tsy0sp
3890,2.2889394760131836,,,,d7tsy0sp
3957,2.269908905029297,,,,d7tsy0sp
4000,,2.9079978466033936,2.1919901371002197,3.041969060897827,d7tsy0sp
4046,2.2981910705566406,,,,d7tsy0sp
4164,2.265615940093994,,,,d7tsy0sp
4253,2.256186008453369,,,,d7tsy0sp
4390,2.2581825256347656,,,,d7tsy0sp
4500,2.2864603996276855,,,,d7tsy0sp
4559,2.2427077293395996,,,,d7tsy0sp
4624,2.249577283859253,,,,d7tsy0sp
4733,2.278764247894287,,,,d7tsy0sp
4822,2.193350076675415,,,,d7tsy0sp
4886,2.2250778675079346,,,,d7tsy0sp
4976,2.2353477478027344,,,,d7tsy0sp
5000,,2.838998794555664,2.1281399726867676,2.9739232063293457,d7tsy0sp
5063,2.2557876110076904,,,,d7tsy0sp
5207,2.21293044090271,,,,d7tsy0sp
5318,2.210460901260376,,,,d7tsy0sp
5407,2.205108165740967,,,,d7tsy0sp
5499,2.2260570526123047,,,,d7tsy0sp
5575,2.210094690322876,,,,d7tsy0sp
5645,2.193948268890381,,,,d7tsy0sp
5715,2.2134642601013184,,,,d7tsy0sp
5805,2.1562001705169678,,,,d7tsy0sp
5891,2.1840507984161377,,,,d7tsy0sp
5979,2.178683042526245,,,,d7tsy0sp
6000,,2.792008399963379,2.087460517883301,2.923617124557495,d7tsy0sp
6052,2.1997339725494385,,,,d7tsy0sp
6144,2.162518262863159,,,,d7tsy0sp
6208,2.1713268756866455,,,,d7tsy0sp
6335,2.180015802383423,,,,d7tsy0sp
6452,2.147167682647705,,,,d7tsy0sp
6516,2.192096710205078,,,,d7tsy0sp
6619,2.1258108615875244,,,,d7tsy0sp
6706,2.1327850818634033,,,,d7tsy0sp
6786,2.1980385780334473,,,,d7tsy0sp
6855,2.151731491088867,,,,d7tsy0sp
6968,2.146707057952881,,,,d7tsy0sp
7000,,2.7580740451812744,2.0450005531311035,2.8947479724884033,d7tsy0sp
7061,2.1389694213867188,,,,d7tsy0sp
7159,2.1401443481445312,,,,d7tsy0sp
7238,2.1290974617004395,,,,d7tsy0sp
7313,2.141725540161133,,,,d7tsy0sp
7420,2.1290624141693115,,,,d7tsy0sp
7497,2.1494548320770264,,,,d7tsy0sp
7570,2.174889326095581,,,,d7tsy0sp
7652,2.1444504261016846,,,,d7tsy0sp
7713,2.1247305870056152,,,,d7tsy0sp
7831,2.122762441635132,,,,d7tsy0sp
7924,2.1325771808624268,,,,d7tsy0sp
8055,2.1213769912719727,,,,2le8jr80
8182,2.1218109130859375,,,,2le8jr80
8284,2.1131930351257324,,,,2le8jr80
8425,2.098536491394043,,,,2le8jr80
8571,2.117783546447754,,,,2le8jr80
8714,2.0876264572143555,,,,2le8jr80
8884,2.091829299926758,,,,2le8jr80
8993,2.075284004211426,,,,2le8jr80
9000,,2.7054977416992188,2.004237651824951,2.8431849479675293,2le8jr80
9130,2.1124155521392822,,,,2le8jr80
9280,2.145045280456543,,,,2le8jr80
9458,2.098247528076172,,,,2le8jr80
9578,2.082685947418213,,,,2le8jr80
9694,2.090618371963501,,,,2le8jr80
9843,2.070244312286377,,,,2le8jr80
9961,2.0536000728607178,,,,2le8jr80
10000,,2.6864209175109863,1.989043116569519,2.824639320373535,2le8jr80
10110,2.074761390686035,,,,2le8jr80
10246,2.0871729850769043,,,,2le8jr80
10389,2.0919852256774902,,,,2le8jr80
10478,2.098339557647705,,,,2le8jr80
10616,2.108227252960205,,,,2le8jr80
10778,2.084418535232544,,,,2le8jr80
10853,2.057788848876953,,,,2le8jr80
11000,,2.6693508625030518,1.9813834428787231,2.804863691329956,2le8jr80
11065,2.0624639987945557,,,,2le8jr80
11203,2.088879108428955,,,,2le8jr80
11329,2.0943715572357178,,,,2le8jr80
11445,2.019638776779175,,,,2le8jr80
11636,2.0584256649017334,,,,2le8jr80
11802,2.0368683338165283,,,,2le8jr80
11913,2.065477132797241,,,,2le8jr80
12000,,2.6596217155456543,1.9594712257385254,2.791910171508789,2le8jr80
12065,2.0715181827545166,,,,2le8jr80
12228,2.057790756225586,,,,2le8jr80
12388,2.0596466064453125,,,,2le8jr80
12531,2.02807879447937,,,,2le8jr80
12616,2.0630102157592773,,,,2le8jr80
12760,2.0287296772003174,,,,2le8jr80
12872,2.02620530128479,,,,2le8jr80
13000,,2.645505905151367,1.942535161972046,2.7784483432769775,2le8jr80
13155,2.034968376159668,,,,2le8jr80
13292,2.0447497367858887,,,,2le8jr80
13455,2.038583278656006,,,,2le8jr80
13580,2.0607659816741943,,,,2le8jr80
13710,2.0569233894348145,,,,2le8jr80
13828,2.038855791091919,,,,2le8jr80
13963,2.0251686573028564,,,,2le8jr80
14000,,2.632880210876465,1.942832589149475,2.7678163051605225,2le8jr80
14092,1.9984962940216064,,,,2le8jr80
14202,2.013000249862671,,,,2le8jr80
14382,2.046452760696411,,,,2le8jr80
14535,2.009552478790283,,,,2le8jr80
14662,2.0093891620635986,,,,2le8jr80
14781,2.0251142978668213,,,,2le8jr80
14910,1.9964947700500488,,,,2le8jr80
15000,,2.6248087882995605,1.923907995223999,2.761612892150879,2le8jr80
15042,2.0096559524536133,,,,2le8jr80
15203,2.0021536350250244,,,,2le8jr80
15320,1.9915872812271118,,,,2le8jr80
15475,2.0071520805358887,,,,2le8jr80
15572,2.010211944580078,,,,2le8jr80
15664,1.9952504634857178,,,,2le8jr80
15821,2.01135516166687,,,,2le8jr80
15936,2.025658369064331,,,,2le8jr80
16000,,2.6148133277893066,1.9195010662078857,2.75643253326416,2le8jr80
16057,1.9794952869415283,,,,2le8jr80
16240,2.0116734504699707,,,,2le8jr80
16389,2.016749143600464,,,,2le8jr80
16493,1.9817519187927246,,,,2le8jr80
16574,1.983858585357666,,,,2le8jr80
16708,1.98548424243927,,,,2le8jr80
16796,2.013510227203369,,,,2le8jr80
16889,2.0153024196624756,,,,2le8jr80
16983,2.007514238357544,,,,2le8jr80
17000,,2.608579397201538,1.9060330390930176,2.7428646087646484,2le8jr80
17103,2.002148389816284,,,,2le8jr80
17242,1.9851611852645874,,,,2le8jr80
17366,1.9954137802124023,,,,2le8jr80
17494,1.9973366260528564,,,,2le8jr80
17636,1.9837563037872314,,,,2le8jr80
17758,1.9914171695709229,,,,2le8jr80
17899,1.9583197832107544,,,,2le8jr80
18000,,2.6054606437683105,1.9048973321914673,2.7389755249023438,2le8jr80
18043,1.9791932106018066,,,,2le8jr80
18151,1.9901752471923828,,,,2le8jr80
18267,1.9850306510925293,,,,2le8jr80
18363,1.9991661310195923,,,,2le8jr80
18547,2.0172932147979736,,,,2le8jr80
18711,2.0034220218658447,,,,2le8jr80
18857,2.0031778812408447,,,,2le8jr80
18984,1.9886422157287598,,,,2le8jr80
19000,,2.596863031387329,1.895167589187622,2.728363513946533,2le8jr80
19078,1.988326072692871,,,,2le8jr80
19206,1.9927233457565308,,,,2le8jr80
19299,1.998634696006775,,,,2le8jr80
19369,1.9650218486785889,,,,2le8jr80
19470,2.0103142261505127,,,,2le8jr80
19588,1.9675886631011963,,,,2le8jr80
19649,1.9954140186309814,,,,1auhizku
19666,1.9797263145446777,,,,1auhizku
19683,2.025343418121338,,,,1auhizku
19700,1.988070011138916,,,,1auhizku
19717,1.9935551881790161,,,,1auhizku
19734,1.9725546836853027,,,,1auhizku
19751,1.9874221086502075,,,,1auhizku
19768,1.9684611558914185,,,,1auhizku
19785,1.992106556892395,,,,1auhizku
19802,1.9833078384399414,,,,1auhizku
19819,1.986465334892273,,,,1auhizku
19836,2.008075475692749,,,,1auhizku
19853,1.993945837020874,,,,1auhizku
19870,1.9742987155914307,,,,1auhizku
19887,1.9767714738845825,,,,1auhizku
19904,1.9922029972076416,,,,1auhizku
19921,1.966223120689392,,,,1auhizku
19938,2.01292085647583,,,,1auhizku
19955,1.9936580657958984,,,,1auhizku
19972,1.9722579717636108,,,,1auhizku
19989,1.998049020767212,,,,1auhizku
20000,1.9694956541061401,2.5902438163757324,1.891370177268982,2.727297782897949,1auhizku
20006,1.990960955619812,,,,1auhizku
20023,1.975529670715332,,,,1auhizku
20040,1.9573134183883667,,,,1auhizku
20057,1.975337028503418,,,,1auhizku
20072,2.0017592906951904,,,,1auhizku
20088,1.9811677932739258,,,,1auhizku
20105,1.9903743267059326,,,,1auhizku
20122,1.9885005950927734,,,,1auhizku
20139,1.9993394613265991,,,,1auhizku
20156,1.9851762056350708,,,,1auhizku
20173,1.9568541049957275,,,,1auhizku
20188,1.9831033945083618,,,,1auhizku
20205,2.004530668258667,,,,1auhizku
20222,1.9491909742355347,,,,1auhizku
20239,1.982072114944458,,,,1auhizku
20256,1.9476739168167114,,,,1auhizku
20272,1.9932715892791748,,,,1auhizku
20288,1.9855597019195557,,,,1auhizku
20305,1.9855854511260986,,,,1auhizku
20321,2.0080490112304688,,,,1auhizku
20337,1.983559489250183,,,,1auhizku
20354,2.000060796737671,,,,1auhizku
20370,1.994626760482788,,,,1auhizku
20386,1.9883520603179932,,,,1auhizku
20403,1.9866665601730347,,,,1auhizku
20420,1.9535188674926758,,,,1auhizku
20437,1.9527705907821655,,,,1auhizku
20454,1.9505547285079956,,,,1auhizku
20471,1.9462462663650513,,,,1auhizku
20488,1.9747371673583984,,,,1auhizku
20505,2.000908851623535,,,,1auhizku
20521,1.9854778051376343,,,,1auhizku
20538,1.970479130744934,,,,1auhizku
20555,1.9705166816711426,,,,1auhizku
20571,2.020305633544922,,,,aht8p3di
20588,1.9767265319824219,,,,1auhizku
20605,1.9531136751174927,,,,1auhizku
20622,1.9841394424438477,,,,1auhizku
20639,1.9623370170593262,,,,1auhizku
20656,1.9479204416275024,,,,1auhizku
20673,1.9943336248397827,,,,1auhizku
20689,1.9717766046524048,,,,1auhizku
20706,1.974772572517395,,,,1auhizku
20723,1.9435075521469116,,,,1auhizku
20739,1.943681240081787,,,,1auhizku
20756,2.008538246154785,,,,1auhizku
20773,1.958160161972046,,,,1auhizku
20790,1.9761543273925781,,,,1auhizku
20807,1.9920527935028076,,,,1auhizku
20824,1.9561163187026978,,,,1auhizku
20841,1.9783750772476196,,,,1auhizku
20858,1.980873703956604,,,,1auhizku
20874,1.9865599870681763,,,,1auhizku
20891,1.9656933546066284,,,,1auhizku
20907,1.9699136018753052,,,,1auhizku
20924,1.9849803447723389,,,,1auhizku
20940,1.981095552444458,,,,1auhizku
21000,,2.5865001678466797,1.892726182937622,2.71897029876709,aht8p3di
21213,1.976182460784912,,,,aht8p3di
22000,,2.580552101135254,1.8837953805923462,2.7147538661956787,aht8p3di
22141,1.962188720703125,,,,aht8p3di
23000,,2.5770411491394043,1.8883928060531616,2.7130279541015625,aht8p3di
23123,1.9534389972686768,,,,aht8p3di
23964,1.9535387754440308,,,,aht8p3di
24000,,2.571591377258301,1.8776894807815552,2.705000638961792,aht8p3di
24927,1.9631216526031494,,,,aht8p3di
25000,,2.567920446395874,1.871556043624878,2.700291872024536,aht8p3di
25985,1.9308677911758423,,,,aht8p3di
26000,,2.5653164386749268,1.8785854578018188,2.696516752243042,aht8p3di
27000,,2.5599420070648193,1.8600362539291382,2.6919775009155273,aht8p3di
27841,1.9235907793045044,,,,aht8p3di
28000,,2.554931402206421,1.8644565343856812,2.6920788288116455,aht8p3di
28701,1.9321074485778809,,,,aht8p3di
29000,,2.551063299179077,1.8565623760223389,2.685213565826416,aht8p3di
29103,1.9503285884857178,,,,aht8p3di
30000,,2.552647590637207,1.8598344326019287,2.6819283962249756,aht8p3di
30283,1.9118961095809937,,,,aht8p3di
30942,1.9474256038665771,,,,aht8p3di
31000,,2.546118974685669,1.852637767791748,2.678624391555786,aht8p3di
31524,1.9245798587799072,,,,aht8p3di
32000,,2.5432443618774414,1.850054383277893,2.6761887073516846,aht8p3di
32478,1.9250041246414185,,,,aht8p3di
33000,1.9155614376068115,2.542649507522583,1.842341423034668,2.6742963790893555,aht8p3di
33244,1.916740894317627,,,,aht8p3di
34000,,2.540494918823242,1.8470176458358765,2.6729824542999268,aht8p3di
34131,1.927478551864624,,,,aht8p3di
34928,1.9327863454818726,,,,aht8p3di
35000,,2.5373072624206543,1.836956262588501,2.66892671585083,aht8p3di
35836,1.9131031036376953,,,,aht8p3di
36000,,2.5338845252990723,1.8375400304794312,2.6679046154022217,aht8p3di
36723,1.9122560024261475,,,,aht8p3di
37000,,2.5329620838165283,1.842015027999878,2.6650197505950928,aht8p3di
37796,1.9170233011245728,,,,aht8p3di
38000,,2.531075954437256,1.8381307125091553,2.6628565788269043,aht8p3di
38448,1.8999271392822266,,,,aht8p3di
39000,,2.5306389331817627,1.8597311973571777,2.660262107849121,aht8p3di
39254,1.9226765632629395,,,,aht8p3di
40000,,2.5275020599365234,1.8409909009933472,2.659771203994751,aht8p3di
40334,1.912528395652771,,,,aht8p3di
41000,,2.524355888366699,1.8368549346923828,2.655097484588623,aht8p3di
41954,1.9120347499847412,,,,aht8p3di
42000,,2.5243356227874756,1.835759162902832,2.653620719909668,aht8p3di
43000,,2.5205538272857666,1.8264638185501099,2.6581616401672363,aht8p3di
43034,1.9111204147338867,,,,aht8p3di
43923,1.9640995264053345,,,,aht8p3di
44000,,2.5225892066955566,1.8332136869430542,2.648865222930908,aht8p3di
44682,1.8787740468978882,,,,aht8p3di
45000,,2.5195512771606445,1.8271687030792236,2.652631998062134,aht8p3di
45684,1.9244145154953003,,,,aht8p3di
46000,,2.516023874282837,1.8301823139190674,2.6515281200408936,aht8p3di
46556,1.9160431623458862,,,,aht8p3di
47000,,2.511178493499756,1.823556661605835,2.6447360515594482,aht8p3di
47108,1.901538372039795,,,,aht8p3di
48000,,2.514286518096924,1.8235927820205688,2.6404967308044434,aht8p3di
48086,1.8890424966812134,,,,aht8p3di
48897,1.9213651418685913,,,,aht8p3di
49000,,2.513849973678589,1.8224923610687256,2.641808032989502,aht8p3di
50000,,2.5099382400512695,1.8184542655944824,2.6410341262817383,aht8p3di
50749,1.8910833597183228,,,,aht8p3di
51000,,2.5076544284820557,1.8165596723556519,2.6347148418426514,aht8p3di
51299,1.9068632125854492,,,,aht8p3di
51925,1.9121592044830322,,,,aht8p3di
52000,,2.506373405456543,1.8213216066360474,2.639155149459839,aht8p3di
52704,1.890154480934143,,,,aht8p3di
53000,,2.508673667907715,1.8208540678024292,2.6284408569335938,aht8p3di
53342,1.9070196151733398,,,,aht8p3di
54000,,2.504284143447876,1.8100454807281494,2.6348886489868164,aht8p3di
54218,1.891374945640564,,,,aht8p3di
54934,1.8923195600509644,,,,aht8p3di
55000,,2.514557123184204,1.8139926195144653,2.6319265365600586,aht8p3di
56000,,2.5033633708953857,1.8150765895843506,2.6314103603363037,aht8p3di
56798,1.8781790733337402,,,,aht8p3di
57000,1.8926117420196533,2.5014171600341797,1.8119205236434937,2.6280674934387207,aht8p3di
57678,1.868471384048462,,,,aht8p3di
58000,,2.5017549991607666,1.8100181818008423,2.626023530960083,aht8p3di
58606,1.8763781785964966,,,,aht8p3di
59000,,2.5007402896881104,1.813811182975769,2.6262073516845703,aht8p3di
59454,1.8836205005645752,,,,aht8p3di
60000,,2.502638578414917,1.8054996728897095,2.6245546340942383,aht8p3di
60523,1.8712164163589478,,,,aht8p3di
61000,,2.4943735599517822,1.8075066804885864,2.619346857070923,aht8p3di
61342,1.8558777570724487,,,,aht8p3di
62000,,2.4935600757598877,1.8099671602249146,2.619765043258667,aht8p3di
62221,1.8880242109298706,,,,aht8p3di
63000,,2.492372751235962,1.8082902431488037,2.6198863983154297,aht8p3di
63065,1.8580970764160156,,,,aht8p3di
63914,1.8724027872085571,,,,aht8p3di
64000,,2.4937469959259033,1.8122100830078125,2.6201469898223877,aht8p3di
64547,1.8529140949249268,,,,aht8p3di
65000,,2.4908764362335205,1.836639165878296,2.621668815612793,aht8p3di
65385,1.8433696031570435,,,,aht8p3di
66000,,2.493278980255127,1.8116594552993774,2.620720863342285,aht8p3di
66256,1.8319952487945557,,,,aht8p3di
66908,1.8793127536773682,,,,aht8p3di
67000,,2.4905076026916504,1.8089492321014404,2.615767240524292,aht8p3di
67725,1.8743565082550049,,,,aht8p3di
68000,,2.4998579025268555,1.808132290840149,2.6143298149108887,aht8p3di
68250,1.8841789960861206,,,,aht8p3di
69000,,2.4870617389678955,1.8045697212219238,2.6192471981048584,aht8p3di
69055,1.8751773834228516,,,,aht8p3di
69739,1.856645107269287,,,,aht8p3di
70000,,2.488201141357422,1.7988216876983643,2.6173272132873535,aht8p3di
70579,1.8691730499267578,,,,aht8p3di
71000,,2.4860382080078125,1.7990355491638184,2.6162960529327393,aht8p3di
71183,1.834765076637268,,,,aht8p3di
72000,,2.4907631874084473,1.80585777759552,2.6182425022125244,aht8p3di
72447,1.8789328336715698,,,,aht8p3di
73000,,2.485917091369629,1.7922585010528564,2.613436698913574,aht8p3di
73316,1.8747546672821045,,,,aht8p3di
73827,1.847401738166809,,,,aht8p3di
74000,,2.487765312194824,1.7928035259246826,2.6120615005493164,aht8p3di
74349,1.8957123756408691,,,,aht8p3di
75000,,2.483431577682495,1.7958983182907104,2.6077520847320557,aht8p3di
75307,1.8356469869613647,,,,aht8p3di
76000,,2.485316276550293,1.7968881130218506,2.6087253093719482,aht8p3di
76148,1.8524975776672363,,,,aht8p3di
