_step,train/CE loss,eval/lm/c4_en-validation/CE loss,eval/lm/pile-validation/CE loss,eval/lm/dolma_common-crawl-validation/CE loss,_segment
2,12.210563659667969,,,,96gyxtlp
55,8.539155960083008,,,,96gyxtlp
117,7.296548366546631,,,,96gyxtlp
196,6.573429584503174,,,,96gyxtlp
278,5.960862636566162,,,,96gyxtlp
332,5.736419677734375,,,,96gyxtlp
445,5.239199638366699,,,,96gyxtlp
542,4.984671115875244,,,,96gyxtlp
638,4.633126258850098,,,,96gyxtlp
708,4.36955451965332,,,,96gyxtlp
783,4.21919059753418,,,,96gyxtlp
868,3.9634146690368652,,,,96gyxtlp
925,3.8438920974731445,,,,96gyxtlp
998,3.724405527114868,,,,96gyxtlp
1068,3.64494252204895,,,,96gyxtlp
1155,3.5347089767456055,,,,96gyxtlp
1264,3.4877586364746094,,,,96gyxtlp
1382,3.3423826694488525,,,,96gyxtlp
1458,3.3125600814819336,,,,96gyxtlp
1543,3.3491973876953125,,,,96gyxtlp
1607,3.1758546829223633,,,,96gyxtlp
1685,3.1337642669677734,,,,96gyxtlp
1738,3.1837377548217773,,,,96gyxtlp
1844,3.0489866733551025,,,,96gyxtlp
1922,3.0694406032562256,,,,96gyxtlp
2004,2.9608190059661865,,,,96gyxtlp
2073,3.0110106468200684,,,,96gyxtlp
2141,2.9574098587036133,,,,96gyxtlp
2210,2.9387080669403076,,,,96gyxtlp
2327,2.923804998397827,,,,96gyxtlp
2405,2.865412950515747,,,,96gyxtlp
2460,2.8407247066497803,,,,96gyxtlp
2508,2.851641893386841,,,,96gyxtlp
2596,2.789410352706909,,,,96gyxtlp
2662,2.8221025466918945,,,,96gyxtlp
2756,2.7742490768432617,,,,96gyxtlp
2807,2.7914533615112305,,,,96gyxtlp
2853,2.778724431991577,,,,96gyxtlp
2968,2.7611193656921387,,,,96gyxtlp
3065,2.715515613555908,,,,96gyxtlp
3154,2.6594746112823486,,,,96gyxtlp
